"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"490","LAD1",477.149270817347,10.114625532431,0.806487493303627,12.5415776641474,4.42105291685129e-36,5.14940265162747e-34
"491","LOC101929343",18.3844476551015,7.84524520563671,1.16497317220255,6.73427113416194,1.64753705471685e-11,2.78635142904369e-10
"492","PHLDA3",4270.23981425814,-1.38028513398473,0.297325935085699,-4.64233008663334,3.44501912728345e-06,2.51496155552676e-05
"493","NAV1",3881.61083276657,2.22702393082267,0.457518443191707,4.86761564252288,1.12952737798513e-06,9.10689731112297e-06
"494","SHISA4",71.2795582294443,1.67898394650333,0.365706153821351,4.59107381420635,4.40971333866408e-06,3.14678609172373e-05
"495","PTPN7",1854.08407217992,-1.10915782567474,0.353169114998658,-3.14058556813201,0.00168610443819356,0.00645150874123949
"496","PTPRVP",16.0579197281881,1.63575570829592,0.643118650386986,2.54347422098804,0.0109756155573114,0.0325432605105037
"497","PCAT6",4.31154770298505,-2.3174827777903,0.976314256451016,-2.37370576377174,0.0176105777520374,0.0485633588731946
"498","PPFIA4",91.7085096459626,2.00159416102689,0.649900445936558,3.07984734206858,0.00207106719532176,0.00773358473080119
"499","ADORA1",48.5750136091313,-4.43253523745218,0.802664099423307,-5.52227917087215,3.3463023851096e-08,3.60812604453031e-07
"500","MYBPH",428.24350864873,-1.35880199844415,0.538019894799472,-2.52556087902771,0.0115513765504852,0.0339864676701587
"501","LOC124904485",12.232619135541,-1.69518555874631,0.701131542479908,-2.417785331338,0.0156152860055715,0.0439307773322684
"502","LOC102723543",4.54444454856009,5.8273446772632,1.54097932929863,3.78158523379772,0.000155832847845746,0.000789736969318561
"503","LAX1",4.5001127069668,3.18888702264605,1.02066953308251,3.12430901411875,0.00178223178580708,0.00677780676926742
"504","ZBED6",1424.84380807081,1.25378266813857,0.234465308918398,5.34741226291575,8.92206367175037e-08,8.99009113669627e-07
"505","SOX13",342.367964197125,-2.41458552826801,0.567503161961627,-4.25475255489639,2.09280323600177e-05,0.000129177339860517
"506","ETNK2",45.7581343827787,-2.77444703666869,0.457523136600783,-6.06405843709182,1.32728893768139e-09,1.77569037892534e-08
"507","PPP1R15B",4191.27390653264,1.14120430703111,0.206059022470115,5.53823993412675,3.05526508536053e-08,3.31163748684504e-07
"508","PIK3C2B",458.177801156668,-2.27612538565383,0.315831740154947,-7.20676580680955,5.72964202155832e-13,1.15466568833281e-11
"509","LRRN2-AS1",368.879710501532,1.84913924956992,0.670431378903311,2.75813350591485,0.00581324505028535,0.0189270151542455
"510","TMCC2",169.297629732909,2.76916032427527,0.670659434309217,4.12901121286324,3.64326637893409e-05,0.000212488526083966
"511","NUAK2",340.718409708204,1.35773709979018,0.274148405697535,4.95256245001899,7.32425395485292e-07,6.1315504122936e-06
"512","SLC60A1",3.97830012218733,-3.05657393655928,1.15852705202855,-2.63832763439343,0.00833160431629599,0.0258020661836801
"513","SLC45A3",629.743515278758,-3.84787660923022,0.590204692727982,-6.51956288494584,7.05125732406292e-11,1.11994392136272e-09
"514","RAB29",1919.9298122666,1.72336156836151,0.211012499368261,8.16710656250691,3.15873863695495e-16,8.81198318531302e-15
"515","SLC41A1",180.641493772793,1.59465319342127,0.40642595903563,3.9236007394928,8.723526300089e-05,0.000465676380638619
"516","SLC26A9",6.53097450055817,5.60990001134769,1.29176079818591,4.34283190759929,1.40657753802978e-05,9.07037926932185e-05
"517","RAB7B",4214.28033653434,-4.17559892271862,0.333914266742522,-12.5050030460016,7.00971376145319e-36,7.98410270199553e-34
"518","CTSE",3.95495174350273,-4.46493712736602,1.27089392497953,-3.51322564346817,0.000442701345141664,0.00198752851294437
"519","FAM72A",101.30674844022,1.79132138388627,0.507223506648047,3.53162138664294,0.00041302024916195,0.00186933599488974
"520","SRGAP2",2849.270441422,1.88113693944388,0.386974636078383,4.86113756319379,1.16713109982175e-06,9.38805101596772e-06
"521","IKBKE",2754.12490109651,1.4276079734471,0.280879924423916,5.08262730551186,3.72249655290716e-07,3.32508617568172e-06
"522","EIF2D",489.811933246072,-1.19327904288583,0.1688345642859,-7.0677414185472,1.574756319691e-12,3.05123837281481e-11
"523","FCMR",967.674125649113,-3.72736255357893,0.377055706854212,-9.88544261715712,4.81449439464144e-23,2.39170160096212e-21
"524","FCAMR",99.6967750808604,8.84738224132153,1.28911359278373,6.86315177409335,6.73575942594447e-12,1.18890767401773e-10
"525","PFKFB2",511.844381815635,-1.74666409463521,0.480599041713681,-3.63434785139623,0.000278684657506188,0.00132351137967002
"526","CD55",1544.72708254525,2.1985409677047,0.528042206624065,4.16357052547114,3.13309190501372e-05,0.000185182977963769
